address,classification,details,fone,link,name,position
"       R. Pedro Siqueira Cortez, 58 - Centro, União da Vitória - PR, 84600-000      ","4,7",Loja de produtos de beleza,       (42) 3524-5009      ,       boticario.com.br      ,O Boticário,6
"       R. Matos Costa, 33 - Centro, Porto União - SC, 89400-000      ",,Confecção,       (42) 3522-1523      ,,Loja Eve,7
"       R. Mal. Deodoro da Fonseca, 269 - Centro, União da Vitória - PR, 84010-030      ","4,6",Brechó,       (42) 98872-5655      ,,Brecho Das Meninas,8
,,Loja de lingerie,       (42) 98425-5995      ,,Nua Belle Lingerie,9
,,Loja de bicicleta,       (42) 99139-7233      ,       monbike.com.br      ,MonBike Store,10
"       R. Barão do Cerro Azul, 518 - Centro, União da Vitória - PR, 84600-000      ","5,0",Butique,       (42) 3523-3843      ,,Boutique para Cães e Gatos,11
"       Av. Santa Rosa, 1385 - 2 - Santa Rosa, Porto União - SC, 89400-000      ","4,7",Loja de moda feminina,       (42) 99918-3936      ,,Charme Moda e Acessórios,12
"       Centro, Porto União - SC, 89400-000      ","4,5",Loja de Roupa,       (42) 3522-4953      ,,Lord Ele Ela,13
"       R. Benjamin Constant, 823 - Centro, União da Vitória - PR, 84600-290      ","5,0",Costureira,       (42) 3522-6143      ,       facebook.com      ,Dona Alda Costureira,14
"       R. Nilo Peçanha, 1001 - São Pedro, Porto União - SC, 89400-000      ","4,8",Loja de vestidos de noiva,       (42) 3522-3324      ,,Walderis Noivas & Eventos,15
"       R. dos Expedicionários, 353 - São Basílio Magno, União da Vitória - PR, 84600-506      ",,Costureira,       (42) 99141-6593      ,,Costureira Silvia Vogel Werle,16
"       R. Carlos Cavalcante, 25 - Centro, Porto União - PR, 84600-000      ","5,0",Costureira,       (42) 3523-4352      ,,Casa da Costura,17
"       Rua Professora, R. Francisca Maria Wainand - Cidade Jardim, União da Vitória - PR, 84607-164      ","5,0",Serviço de aluguel de fantasias,       (42) 99931-3921      ,       serenosatelie.wordpress.com      ,Serenos Ateliê,18
"       R. Matos Costa, 112 - Centro, Porto União - SC, 89400-000      ","4,0",Confecção,       (42) 3524-7351      ,,VIA BRASIL CONFECÇÕES,19
"       R. Gustavo Tenius de Medeiros, 533 - Cidade Nova, Porto União - SC, 89400-000      ","3,0",Costureira,,,Amaral Confecções,20
"       rua jacob bogus, 113      ","3,7",Confecção,       (42) 3522-2674      ,       grupobrasil.ind.br      ,Grupo Brasil,1
"       R. Bento Corrêa de Oliveira, 7 - São Pedro, Porto União - SC, 89400-000      ","4,7",Confecção,       (42) 98831-1027      ,,And'Mara Confecções,2
"       R. Teodoro Lemos, 252 - São Pedro, Porto União - SC, 89400-000      ",,Costureira,       (47) 99963-7309      ,,Ateliê Três Maria,3
,,Perfumaria,       (42) 99145-9387      ,       facebook.com      ,WC COSMÉTICOS,4
"       R. Linha Sao Miguel, Porto Vitória - PR, 84615-000      ",,Loja de roupas para jovens,       (42) 99858-5469      ,,Top Style Loja,5
"       R. Ranulfo Costa Pinto, 45 - São Basílio Magno, União da Vitória - PR, 84600-502      ","5,0","Loja de artigos para cama, mesa e banho",       (42) 3523-9954      ,       shopcama.com.br      ,ShopCama,6
"       Av. Interventor Manoel Ribas, 189 - Centro, União da Vitória - PR, 84600-280      ",,Loja de artigos para festas,       (42) 3522-3007      ,,Flash Moda Festa,7
"       R. Prof. Cleto, 35 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja,       (42) 3523-9217      ,       loja-vipp.business.site      ,LOJA VIPP,8
"       Navegantes, União da Vitória - PR, 84600-000      ",,Loja de eletrônicos,,,Lojas Estrela,9
"       R. Profa. Amazília, 102 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de eletrodomésticos,       (42) 99116-5982      ,       benoit.com.br      ,Lojas Benoit,10
"       R. Bahia, Irineópolis - SC, 89440-000      ","5,0",Loja de Roupa,       (47) 99118-7669      ,       facebook.com      ,Lotus Modas e Acessórios,11
"       R. Pernambuco, 168, Irineópolis - SC, 89440-000      ","5,0",Loja de Roupa,       (47) 3625-1110      ,       brazlucca.com.br      ,Brazlucca - Cia da malha,12
"       Av. Interventor Manoel Ribas, 479 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de tecidos,       (42) 3522-4073      ,,Center Malhas,13
"       Av. Vinte e Dois de Julho, 880, Irineópolis - SC, 89440-000      ","4,4",Loja de Roupa,       (47) 3625-1268      ,       ciadamalha.com.br      ,Lojão 22 - Irineópolis - Cia da malha,14
"       Av. Interventor Manoel Ribas, 1258 - São Bernardo, União da Vitória - PR, 84600-320      ","5,0",Loja,       (42) 3522-4626      ,,Kayrê Modas,15
"       Av. Vinte e Dois de Julho, 981 - centro, Irineópolis - SC, 89440-000      ","5,0",Loja de Roupa,       (47) 99676-1694      ,,Império da Economia,16
"       Av. Interventor Manoel Ribas, 167, Cruz Machado - PR, 84620-000      ","5,0",Loja de Roupa,       (42) 3554-2196      ,,Cestão do Carlão,17
"       R. Profa. Amazília, 312 - Centro, União da Vitória - PR, 84600-000      ","4,1",Loja de eletrodomésticos,       (42) 3522-1241      ,       colombo.com.br      ,Lojas Colombo,18
"       Gen. Carneiro - PR, 84660-000      ","3,5",Loja de Roupa,       (42) 3552-1879      ,       facebook.com      ,Izza Modas,19
"       R. Alm. Barroso, 175 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de móveis,       (42) 3522-7149      ,,Ótima Móveis e Eletrodomésticos,20
"       Av. Manoel Ribas, 120 - Centro, Cruz Machado - PR, 84620-000      ","5,0",Loja de moda infantil,       (42) 99989-2416      ,       facebook.com      ,Rick & Nick,1
"       R. Carlos Cavalcante, 156 - Centro, União da Vitória - PR, 84600-000      ","4,7",Loja de tecidos,       (42) 3522-4140      ,,Casa Petry Ltda,2
"       R. Cruz Machado, 159 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja,       (42) 99953-8715      ,       evolucao.smartpos.app      ,Evolução Militar,3
"       Av. Interventor Manoel Ribas, 39 - Centro, União da Vitória - PR, 84600-000      ","3,4",Armarinho,       (42) 3522-3483      ,,Loja São Paulo,4
"       Cruz Machado - PR, 84620-000      ",,Loja de Roupa,,,Loja Mais Você,5
"       Rua Rui Barbosa Rua Rui Barbosa, Paulo Frontin - PR, 84635-000      ",,Loja de lingerie,       (42) 99808-4805      ,,Victória Lojas,6
"       R. Cruz Machado, 172 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de artigos domésticos,       (49) 99984-0702      ,,LOJA DO REAL,7
"       Av. Interventor Manoel Ribas, 158 - Centro, União da Vitória - PR, 84600-280      ","4,3",Loja de calçado,       (42) 3522-1888      ,,Crystal Calçados,8
"       R. Francisco de Paula Pereira, 209 - Centro, Canoinhas - SC, 89460-000      ","4,3",Loja de Roupa,       (47) 98467-4359      ,       lojaalfacampos.com.br      ,Loja Alfa Campos,9
"       Av. Interventor Manoel Ribas, 116 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de departamento,       (42) 3521-2300      ,       magazineluiza.com.br      ,Magazine Luiza,10
"       Av. Interventor Manoel Ribas, 493 - Centro, União da Vitória - PR, 84600-000      ","3,0",Loja de calçado,       (42) 3524-7475      ,       pt-br.facebook.com      ,Feirão dos Calçados,11
"       R. Profa. Amazília, 195 - Centro, União da Vitória - PR, 84600-000      ","3,6",Loja de móveis,       (42) 3522-4186      ,,Mercadomóveis,12
"       Av. Interventor Manoel Ribas, 455 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Presentes,       (42) 3523-2032      ,,Dalgallo Presentes Ltda,13
"       Praça Alvir Riesemberg, 109 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de calçado,       (42) 3522-3941      ,       pt-br.facebook.com      ,Mercadão de Calçados Paranaense,14
"       R. Mal. Floriano Peixoto, 103, Mallet - PR, 84570-000      ","5,0",Loja de Roupa,,,Loja Flor de Campo,15
"       Av. Interventor Manoel Ribas, 890 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja,       (42) 3524-6002      ,,Época Boutique,16
"       Av. Interventor Manoel Ribas, 332 - Centro, União da Vitória - PR, 84600-000      ","4,1",Loja de Conveniência,       (42) 98888-0674      ,       americanas.com.br      ,Lojas Americanas,17
"       Centro, União da Vitória - PR, 84600-000      ","5,0",Loja,,,Bella Casa,18
"       Av. Interventor Manoel Ribas, 497 - Centro, União da Vitória - PR, 84600-280      ","4,6",Loja de calçado,       (42) 3522-1661      ,       casasestrela.com.br      ,Estrela Calçados,19
"       R. XV de Novembro, Mallet - PR, 84570-000      ","4,5",Loja de Roupa,       (42) 3542-1582      ,       facebook.com      ,Styllu's Fashion,20
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,4",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Superpão Compre Mais União da Vitória Loja 08,1
"       Av. Int, Av. Interventor Manoel Ribas, 103 - Centro, União da Vitória - PR, 84600-280      ","4,8",Loja de variedades,       (42) 3523-1317      ,       lojavogel.negocio.site      ,Vogel & Cia Ltda,2
"       Av. Interventor Manoel Ribas, 370 - Centro, União da Vitória - PR, 84600-000      ","3,8",Loja de calçado,       (42) 3523-2573      ,       lojasleve.com.br      ,Lojas Leve - Calçados e Confecções,3
"       Unnamed Road, Canoinhas - SC, 89460-000      ",,Loja de Roupa,,,Jeito Natural,4
"       R. Carlos Cavalcante, 25, 0 - Centro, União da Vitória - PR, 84600-130      ","5,0",Loja de óculos de sol,       (42) 3523-4678      ,       mundochillibeans.com.br      ,Chilli Beans - União da Vitória,5
"       R. Profa. Amazília, 435 - Centro, União da Vitória - PR, 84600-970      ","4,3",Loja de materiais de construção,       (42) 3521-5800      ,       queroquero.com.br      ,Lojas Quero-Quero,6
"       R. João Gualberto, 255, Mallet - PR, 84570-000      ","4,5",Loja de Roupa,       (42) 99922-2871      ,,La Venue Modas,7
"       Av. Interventor Manoel Ribas, 304 - Centro, União da Vitória - PR, 84600-000      ","4,3",Loja de calçado,       (42) 3522-3211      ,,VIA BRASIL CALÇADOS,8
"       R. Carlos Cavalcante, 8 - Centro, União da Vitória - PR, 84600-000      ","4,4",Loja de artigos para festas,       (42) 3523-3852      ,,Show Festa Embalagens,9
"       R. Prudente de Morais, 516 - Centro, União da Vitória - PR, 84600-000      ","4,3",Supermercado,       (42) 3523-6797      ,       superpao.com.br      ,Superpão União da Vitória (Prudente de Morais) Loja 10,10
"       R. Carlos Cavalcante, 231 - Centro, União da Vitória - PR, 84600-000      ","4,1",Loja de móveis,       (42) 3522-3993      ,,Comercial Bandeirante,11
"       R. Profa. Amazília, 302 - Centro, União da Vitória - PR, 84600-000      ","4,2",Loja de variedades,       (42) 3522-3404      ,       milium.com.br      ,Milium Tem de Tudo - Loja 72,12
"       R. Visc. de Guarapuava, 34 - Centro, União da Vitória - PR, 84600-195      ",,Loja infantil,       (42) 99834-0612      ,,BEL BABY KIDS,13
,,,,,,14
,,,,,,15
"       R. Nipton Read Cury, 27 - Centro, União da Vitória - PR, 84600-145      ","3,8",Loja de móveis,       (42) 3522-4466      ,       casasestrela.com.br      ,Casas Estrela,16
,,,,,,1
"       Av. Barão do Rio Branco, 816 - Centro, Caçador - SC, 89500-000      ","4,1",Loja de Roupa,       (49) 3563-4084      ,,Lojas MR,2
,,,,,,1
"       R. Sete de Setembro, 122 - Centro, Porto União - SC, 89400-000      ","3,7",Loja,       (42) 3523-2975      ,       loja-emmy.business.site      ,LOJA EMMY,2
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
,,,,,,4
"       Av. Interventor Manoel Ribas, 190 - Terreo - Centro, União da Vitória - PR, 86730-000      ","4,3",Loja de chocolates,       (44) 99801-8581      ,       cacaushow.com.br      ,Cacau Show,5
"       R. Siqueira Campos - Centro, Porto União - SC, 89400-000      ","4,3",Loja de Brinquedos,       (42) 3523-7746      ,,Schok Presentes e Acessórios,6
"       R. Dr. Munhoz da Rocha, 333 - Centro, Irati - PR, 84500-000      ","3,0",Loja de Roupa,       (42) 3422-2041      ,       hering.com.br      ,Hering,7
"       R. Emílio Kroni, 558 - Nossa Sra. do Rócio, União da Vitória - PR, 84600-000      ",,Loja de madeiras,       (42) 3522-6900      ,       dissenha.com.br      ,Grupo Dissenha,8
"       R. Teixeira Soares, 390 - Navegantes, União da Vitória - PR, 84600-093      ","4,7",Supermercado,       (42) 99910-3942      ,       bahniuk.com.br      ,Bahniuk Fresh Market,9
"       R. Prudente de Morais, 100 - Centro, União da Vitória - PR, 89400-000      ","4,3",Casa lotérica,       (42) 3522-2348      ,       caixa.gov.br      ,Lotérica Porto União,10
"       Av. Interventor Manoel Ribas, 1009 - Centro, União da Vitória - PR, 84600-280      ",,Farmácia,       (42) 3522-7456      ,       redehiperfarma.com.br      ,Farmácia Hiperfarma Manoel Ribas,11
"       Av. Paula Freitas, 1348 - Centro, União da Vitória - PR, 84600-000      ","3,6",Casa lotérica,       (42) 3524-5050      ,,Lotérica São Cristóvão,12
"       R. Profa. Amazília, 246 - Centro, União da Vitória - PR, 84600-000      ",,Atacadista de roupas,       (42) 98818-9939      ,,Alfa Campos - União da Vitória,13
