address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,link_problem,instagram_link
Porto União,"5,0",Advogado, (42) 3523-3071 · ,,Escritório de Advocacia Dr Getúlio Pereira,1,,,,,
União da Vitória,,Escritório de advocacia, (42) 3522-1532 · ,https://website-174862906105129848774-legalservices.negocio.site/,Escritório de Advocacia Dr. Ariovaldo Abilhôa Júnior,16,False,False,,,
"R. Matos Costa, 33","5,0",Advogado, (42) 3523-3071 · ,,Escritório de Advocacia Dr Getúlio Pereira,21,,,,,
"R. Voluntários da Pátria, 197","5,0",Escritório de advocacia, (42) 99950-3801 · ,https://sw-advocacia-e-assessoria.negocio.site/?utm_source=gmb&utm_medium=referral,SW Advocacia e Assessoria,22,False,False,,,
"R. Visc. de Guarapuava, 242 - Sala 2","5,0",Advogado, (42) 3522-0959 · ,,Advocacia,23,,,,,
"R. Sete de Setembro, 870, 1 - º andar, sala ""D",,Advogado, (42) 99938-4597 · ,http://scaramella.adv.br/,Felipe Scaramella - Assessoria Jurídica,24,False,False,,,
"R. Matos Costa, 33 - 203","5,0",Escritório de advocacia, (42) 99956-2355 · ,http://www.laurianoleme.adv.br/,Lauriano Leme Advocacia (M L Advocacia),25,False,False,,,
"R. Prudente de Morais, 241","5,0",Advogado, (42) 3523-6652 · ,http://www.blrs.adv.br/,Maicon Lazier Reichel Advogado,26,True,True,,,
"R. Siqueira Campos, 110 - Sala 118","5,0",Advogado trabalhista, (42) 99107-6475 · ,,Amanda Tonial Schroeder Advocacia,27,,,,,
Av. Getúlio Vargas,"5,0",Advogado previdenciário, (42) 99948-7135 · ,http://carneiroprev.adv.br/,Advocacia Previdenciária - Lucas Carneiro Sloboda,28,False,False,,,
"R. Visc. Guarapuava, 242",,Escritório de advocacia, (42) 3522-0959 · ,,MM Advocacia,29,,,,,
"R. Sete de Setembro, 375","5,0",Escritório de advocacia, (42) 92000-1022 · ,http://www.facebook.com/fboadvogados,FBO Advogados,30,True,True,https://web.facebook.com/fboadvogados/posts,,
"R. Matos Costa, 33 - 7.° andar, Sala 703","5,0",Advogado Civil, (42) 3524-5159 · ,https://irapuan-caesar-da-costa-advogado.negocio.site/,Irapuan Caesar da Costa - Advogado,31,False,False,,,
"Av. João Pessoa, 1704","5,0",Advogado, (42) 99911-3296 · ,,Wellington Barreto Aguiar advocacia & consultoria,32,,,,,
"R. Papa João XXIII, 335","5,0",Advogado, (42) 98404-1028 · ,https://www.facebook.com/vanessacostaassessoriajca/,Vanessa Costa Assessoria Jurídica,33,True,True,https://web.facebook.com/vanessacostaassessoriajca/services,,
"R. Cel. Amazonas, 500","5,0",Advogado, (42) 99129-2099 · ,,Advocacia Olbertz Advogados Associados,34,,,,,
"R. Ipiranga, 203","4,8",Escritório de advocacia, (42) 99999-8160 · ,https://www.hladczuk.com.br/,Hladczuk Advogados Associados,35,False,False,,,
"R. Barão do Rio Branco, 26","4,4",Advogado, (42) 3521-5000 · ,http://www.meloadvogados.com.br/,Melo Advogados Associados,36,True,True,,,
"R. Castro Alves, 268 - SL. 5","5,0",Escritório de advocacia, (42) 3523-4577 · ,https://www.rtss.adv.br/,Ribeiro Taborda Advogados,37,,,,True,
"Av. Getúlio Vargas, 186",,Advogado, (42) 3522-7635 · ,,Advocacia Sara Ernani da Silva,38,,,,,
"R. Francisco Newman, 59","4,0",Advogado Civil, (42) 3524-3713 · ,,DB Assessoria Juridica,39,,,,,
"R. Cruz Machado, 592","5,0",Advogado criminal, (42) 3522-7361 · ,http://ruscheladvocacia.com.br/,Ruschel Advocacia,40,,,,True,
"R. Prudente de Morais, 217","5,0",Escritório de advocacia, (42) 3522-1532 · ,,Escritorio Advocacia Luciano Ribas Passos,41,,,,,
"Av. Interventor Manoel Ribas, 949","5,0",Advogado, (42) 3523-6688 · ,,Fagundes & Faria Advocacia,42,,,,,
"Rua Prof Amazilia, 460, sala 01","4,0",Advogado, (42) 3523-1400 · ,http://www.sldecosta.adv.br/,"SL de Costa, Savaris e Advogados Associados",43,False,False,,,
"R. Clotário Portugal, 1051","5,0",Escritório de advocacia, (42) 3522-7923 · ,https://www.facebook.com/dpbadvogados,Dalmolin Pogogelski & Belem Advogados Associados,44,True,True,https://web.facebook.com/dpbadvogados/posts,,
"R. Profa. Amazília, 376","5,0",Advogado trabalhista, (42) 3522-2735 · ,,"Dombroski, Gilberto T",45,,,,,
"R. Prudente de Morais, 284","5,0",Escritório de advocacia, (42) 3524-3344 · ,,Advocacia Josiane Nogara,46,,,,,
"R. Dom Pedro II, 102","5,0",Advogado, (42) 3522-2533 · ,,Lotoski & Maglani Advogados Associados,47,,,,,
"Praça Cel. Amazonas, 478","4,5",Advogado, (42) 3524-2587 · ,http://www.msrc.com.br/,Marafon Silva & Rosa Castilho Advogados Associados,48,False,False,,,
"R. Clotário Portugal, 765","4,3",Empresa de advocacia, (42) 3522-1878 · ,http://www.mmagnaniadvocacia.com.br/,Magnani Advogados Associados,49,,,,True,
"R. Bertholdo Hey, 52","5,0",Empresa de advocacia, (42) 3524-2198 · ,http://makiniskiadvocacia.com.br/,MAKINISKI ADVOCACIA,50,False,True,https://www.facebook.com/makiniskiadvocacia/?ref=page_internal,,
"R. Dom Pedro II, 445","5,0",Advogado criminal, (42) 98801-4538 · ,,Andrei Dambiski Advogado,51,,,,,
"Av. Getúlio Vargas, 14","5,0",Advogado, (42) 3522-9725 · ,,Advocacia Vanessa Viana Ribeiro,52,,,,,
"R. Profa. Amazília, 578","5,0",Advogado, (42) 3523-3010 · ,,Advocacia Cleiton Cezar Schaefer,54,,,,,
"R. Costa Carvalho, 1011","5,0",Empresa de advocacia, (42) 3523-6717 · ,,"Gugelmin & Advogados Associados, Assessoria e Consultoria Jurídica",55,,,,,
"R. Barão do Cerro Azul, 39","5,0",Advogado, (42) 3522-1563 · ,,Martim Francisco Ribas,56,,,,,
"R. Mal. Floriano Peixoto, 327","5,0",Advogado Civil, (42) 3522-4352 · ,,Escritório Advocacia Geni Salete Ostrowski,57,,,,,
"Av. Getúlio Vargas, 153","1,0",Advogado, (42) 3523-2439 · ,,Hélio Bueno de Camargo Advocacia e Assessoria Jurídica,58,,,,,
"Av. Getúlio Vargas, 186 - Sala 134","5,0",Advogado, (42) 3522-1983 · ,,Wells & Andregotti Advogados,59,,,,,
"R. Profa. Amazília, 360","5,0",Advogado criminal, (42) 99109-7077 · ,,Allan Scheibe | Advogado Criminal,60,,,,,
"Av. Getúlio Vargas, 333","5,0",Advogado, (42) 3522-1532 · ,,Chokailo & Staciaki Advogados,61,,,,,
"R. Ipiranga, 287","4,1",Empresa de advocacia, (42) 3523-2489 · ,,CLK Advocacia,62,,,,,
"R. Frei Rogerio, 285","4,0",Assessoria contábil, (42) 3522-1087 · ,,Stasiak Assessoria Empresarial,63,,,,,
"R. Cel. João Gualberto, 635","5,0",Escritório de advocacia, (42) 3523-3344 · ,,Scaramella Mello Advogados Associados,64,,,,,
"Av. Interventor Manoel Ribas, 250","5,0",Advogado Civil, (42) 3522-2735 · ,,Advocacia Moura Camargo,65,,,,,
"R. Cruz Machado, 81","5,0",Advogado, (42) 3522-2642 · ,,"Farah, Zani D",66,,,,,
"R. Costa Carvalho, 484","5,0",Advogado, (42) 3523-2482 · ,,Advogado Márcio R. Metelski,67,,,,,
"Av. Getúlio Vargas, 116","5,0",Escritório de advocacia, (42) 99964-1059 · ,https://www.facebook.com/advogados.ccs/,Chokailo & Staciaki - Advogados,69,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,,
"R. Mal. Floriano Peixoto, 327 - sala 4","5,0",Escritório de advocacia, (42) 3522-9312 · ,,Advocacia Jilia Martins e Marcelo Boldori,70,,,,,
"R. Castro Alves, 302","5,0",Escritório de advocacia, (42) 3524-2587 · ,http://www.msrc.com.br/,Marafon Silva & Rosa Castilho Advogados Associados,72,False,False,,,
"Edifício Executive Center - Av. Getúlio Vargas, 186 - 81","5,0",Empresa de advocacia, (42) 3522-4378 · ,http://www.ascadvocacia.com.br/,ASC Advocacia e Assessoria,73,True,True,https://www.facebook.com/ascadvocacia10,,https://www.instagram.com/ascadvocacia/
"R. Carlos Cavalcante, 254","5,0",Advogado processual, (42) 3522-7648 · ,,Lorena & Guerin Advogados Associados,75,,,,,
"R. Profa. Amazília, 472","5,0",Advogado criminal, (42) 99927-8637 · ,,Advocacia Moura Camargo,76,,,,,
"R. Cel. João Gualberto, 432","1,0",Escritório de advocacia, (42) 3523-4614 · ,,Sarah Gabriela Sampaio Advocacia e Consultoria,78,,,,,
"R. Prudente de Morais, 589","3,5",Tabelião, (42) 3522-3278 · ,,Cartório de Registro de Imóveis de Porto União,79,,,,,
"R. Paraná, nº 364","5,0",Escritório de advocacia, (42) 99158-9023 · ,http://loures.adv.br/,Loures & Zabandzala Advocacia - Advogadas Célia Claudia Loures e Neide Zabandzala,80,False,False,,,
"R. Sete de Setembro, 162","1,0",Tabelião, (42) 3522-2142 · ,,2° Tabelionato de Notas e Protestos de Porto União/SC,81,,,,,
"R. Bernardina Souza Schleder, 40","3,1",Advogado, (42) 3523-4809 · ,,Alves de Lima Advocacia,82,,,,,
"Rua Coronel Benjamin Belarmino, 123 - 2","4,0",Consultoria, (42) 3522-2018 · ,http://www.portouniao.sc.gov.br/,Porto União Serviços Ltda,83,False,True,https://www.facebook.com/portouniao,,
"Av. Abilon de Souza Naves, 1115","5,0",Escritório de advocacia, (42) 3523-3344 · ,,Castilho Advocacia,84,,,,,
"R. XV de Novembro, 155","5,0",Cartório de Registro Civil, (42) 3522-2342 · ,,REGISTRO CIVIL TÍTULOS E DOCUMENTOS PESSOA JURÍDICA,85,,,,,
R. Prudente de Morais,"5,0",Construtora, (42) 98807-7093 · ,,DVP Engenharia,86,,,,,
,"5,0",, (42) 99136-0987 · ,,Artis Management & Business,87,,,,,
"R. Cruz Machado, 493","5,0",Promotor público, (42) 3522-6693 · ,http://www2.mppr.mp.br/sis/ext/cgi-bin/dfrun2.cgi?ENV=/usr1/env/srhger.env&FLX=isrh8003&ARG1=UNIAO%20DA%20VITORIA,Promotoria de Justiça de União da Vitória,88,False,False,,,
"R. Mal. Floriano Peixoto, 326","5,0",, (42) 3522-1385 · ,http://www.oabpr.org.br/,OAB/PR - Subseção de União da Vitória,89,True,True,https://www.facebook.com/oabpr.oficial,,https://www.instagram.com/oab_pr/
"R. Profa. Amazília, 593","5,0",Centro de defesa do consumidor, (42) 3524-4346 · ,http://uniaodavitoria.pr.gov.br/procon-uniao-da-vitoria/,Procon Municipal de União da Vitória,90,True,True,,,
"R. Benjamin Constant, 760","5,0",Cartório de Registro de Imóveis, (42) 98861-1633 · ,,cartorio de registro de imoveis,91,,,,,
"Rua Desembargador, R. Costa Carvalho, 284","4,7",Gráfica, (42) 3522-3188 · ,http://www.inovadg.com.br/,Inova Gráfica e Comunicação Visual,93,True,True,https://www.facebook.com/inovacomvisual/,,https://www.instagram.com/inovacomvisualuva/
